ID;ZONENUMBER;VRP_RU;ACCOUNTID;START_TIME;END_TIME;METHOD_;SAP_INITIATIONSOURCE;GPS;"(SUM((((CASE WHEN (0<BONUSPOINTSWRITEOFFSUM) THEN ((NVL(BONUSPOINTSWRITEOFFSUM,0))/100) ELSE ((NVL(BONUSPOINTSREFILLSUM,0))/100)"
1345898422;53201;Е215УН08;782617;1775450520000;1775457720000;;iosMobileApp;55.1440347940622,37.4544710567318;100
1345902199;0309;Е336ЕК790;3131878;1775451180000;1775451540000;;androidMobileApp;55.7422098,37.6164597;16.66
1345873143;4053;Н411НХ82;12907942;1775424420000;1775428020000;bankCard;iosMobileApp;55.7595288031623,37.6451224980562;40
1345901523;3007;А597СХ799;2249577;1775451060000;1775484300000;;iosMobileApp;55.7644564355064,37.6828594633617;369.33
1345901708;4169;М776КС797;177010;1775451120000;1775452020000;sbp;iosMobileApp;;36
1345877793;4096;Р800МК48;7893845;1775429220000;1775452620000;;iosMobileApp;55.8805360874342,37.5289160885774;259.34
1345906088;4039;У470НВ797;1930685;1775451780000;1775455380000;;iosMobileApp;;40
1345891293;4103;А956АЕ250;8137226;1775448660000;1775449740000;;parkomatika;;17
1345910653;39102;А543МО07;8845719;1775452320000;1775470200000;;androidMobileApp;;198.67
1345902053;3103;В020ЕК977;1122230;1775451180000;1775458380000;;iosMobileApp;55.7708362581731,37.5800894308094;264.5
1345873511;3028;Т205КХ76;14936265;1775424660000;1775428260000;;iosMobileApp;55.7218940974945,37.6989683395343;40
1345892395;4069;Х182АХ178;8607712;1775449020000;1775480340000;bankCard;iosMobileApp;55.9766552266114,37.4201985195051;348
1345883614;8120;С908КС977;6290687;1775443380000;1775444580000;legalEntityAccount;androidMobileApp;;38
1345910553;3017;Р162ВУ799;7967964;1775452320000;1775455920000;sms;sms;;40
1345912221;4098;К453ОУ799;4425252;1775452560000;1775456160000;;androidMobileApp;;40
1345902761;4096;В022НХ797;671661;1775451300000;1775454900000;;iosMobileApp;55.8889488586719,37.5419619038368;40
1345894206;4114;Н637ОУ799;6095117;1775449560000;1775450640000;;androidMobileApp;55.9647673,37.4108459;17
1345911709;4271;О426УН799;6643456;1775452500000;1775456100000;;androidMobileApp;;80
1345885976;0306;К943ХС799;8137226;1775446020000;1775446320000;;parkomatika;;13.33
1345887571;3119;Т570ОУ799;602600;1775447040000;1775458800000;;androidMobileApp;55.7058588,37.6566112;351
1345891426;3109;Р998НЕ797;741907;1775448720000;1775482200000;;iosMobileApp;55.7247012521041,37.6325872394397;1298
1345887869;4227;Е468ВН50;773580;1775447160000;1775449380000;;iosMobileApp;55.7831857544965,37.7061044569276;36
1345913777;0401;М888ТЕ77;323874;1775452740000;1775456340000;;iosMobileApp;;450
1345901670;3218;О034КЕ977;15390280;1775451120000;1775451420000;;androidMobileApp;55.7204811,37.6731004;4
1345902541;4070;Н120ЕТ799;6005386;1775451240000;1775452320000;;androidMobileApp;55.9781606,37.4286476;11.33
1345872553;60120;Х479ОХ69;30012928;1775424000000;1775499900000;;2GIS;;843.33
1345892242;4049;Т033СО797;11519478;1775448960000;1775449140000;;legalEntitiesExternalApi;;1.33
1345887336;4273;М651МУ977;10625875;1775446920000;1775462400000;bankCard;androidMobileApp;;318
1345873844;4219;А496УТ797;7617208;1775424960000;1775425440000;bankCard;iosMobileApp;;7
1345904815;4046;Р199НЕ777;787113;1775451600000;1775455200000;;androidMobileApp;55.7541533,37.8181583;40
1345911473;3108;Н232НТ799;221139;1775452440000;1775452740000;;iosMobileApp;;6.67
1345884397;4249;Е184НА797;11831895;1775444400000;1775444640000;;androidMobileApp;55.7063783,37.7606217;3
1345896616;4080;К341ХК797;25329395;1775450160000;1775450280000;;androidMobileApp;55.66195,37.734745;0.67
1345907473;4082;Н487ВА977;8104871;1775451960000;1775452140000;;parkomatika;;1.33
1345910302;0301;А395СУ197;341421;1775452320000;1775455920000;sbp;iosMobileApp;;380
1345872877;8404;К063АМ77;577846;1775424240000;1775431980000;;iosMobileApp;55.730790593532,37.4881050392197;426.66
1345885028;4080;С613ЕХ190;10468513;1775445180000;1775447400000;;androidMobileApp;55.6739938,37.7879818;24
1345912707;6048;А894ЕО790;2723908;1775452620000;1775456220000;;androidMobileApp;;40
1345902313;40105;Е480КЕ977;4485932;1775451240000;1775452080000;sbp;androidMobileApp;;17.34
1345903643;4080;С228АМ250;6270588;1775451420000;1775451600000;;androidMobileApp;55.6622242,37.7344772;1.33
1345907601;0305;К263НМ797;8938758;1775451960000;1775455560000;;androidMobileApp;;380
1345883117;0306;Х466ММ199;9756224;1775442540000;1775444160000;sms;sms;;173.34
1345900772;4013;Х244АМ797;1849733;1775450940000;1775454540000;;androidMobileApp;55.7867024,37.5090372;40
1345902142;0304;У020НВ777;129259;1775451180000;1775452320000;bankCard;iosMobileApp;55.7753559540227,37.5895608234984;93
1345892953;0303;М382ХХ799;15346859;1775449200000;1775449560000;;androidMobileApp;55.7603655,37.5549179;16.67
1345872488;3120;Х432ЕМ197;7609544;1775423940000;1775424300000;;androidMobileApp;55.7102953,37.5994691;5
1345888360;3028;О850РВ777;11498039;1775447460000;1775451060000;;androidMobileApp;55.7526808,37.7001653;40
1345893445;4025;Н052ТН797;7833714;1775449320000;1775456520000;;androidMobileApp;55.7912181,37.6916698;80
1345884157;4214;Р336ТО799;6510567;1775444100000;1775455380000;bankCard;androidMobileApp;;209
1345895663;4057;Х789ОО177;287892;1775449920000;1775484120000;;iosMobileApp;;380
1345909540;60120;А274КО977;1963644;1775452200000;1775455800000;;androidMobileApp;;40
1345890856;0304;Р900ЕР34;8351791;1775448480000;1775449740000;;androidMobileApp;55.7793526092234,37.5866061637671;66.67
1345883119;0306;Т274СС797;5692670;1775442600000;1775446020000;sbp;androidMobileApp;;373.34
1345871659;0301;К556УО797;1203715;1775423400000;1775427000000;bankCard;iosMobileApp;;400
1345904805;0409;С905РМ799;3507914;1775451600000;1775452140000;sbp;androidMobileApp;;120
1345875523;0303;В834ХУ89;10312584;1775426460000;1775426700000;;iosMobileApp;55.7670981215208,37.5592536460102;10
1345911072;0304;С746РХ799;812491;1775452380000;1775455980000;;androidMobileApp;;380
1345884351;0503;Х516АР977;3749148;1775444340000;1775445000000;;yandex;;33.33
1345897759;4234;У043ТК197;634774;1775450400000;1775486400000;sms;sms;;1586.66
1345904316;4219;О458ВХ977;8104871;1775451540000;1775452380000;;parkomatika;;17
1345885841;4028;Т062СА797;11519478;1775445900000;1775446200000;;legalEntitiesExternalApi;;2.67
1345890857;0308;М143ХС799;102774;1775448480000;1775451000000;;parkomatika;;136.66
1345880390;0305;Е542ОМ797;6760048;1775434740000;1775435160000;bankCard;androidMobileApp;55.777916,37.6280756;20
1345899988;4058;О894ОМ799;8244257;1775450820000;1775464140000;;androidMobileApp;55.6523967,37.4915583;148
1345902399;6085;Р592ХТ750;957274;1775451240000;1775452080000;;iosMobileApp;55.744456115513,37.8637350457304;8.67
1345909371;3205;А612МО750;1164880;1775452200000;1775465520000;bankCard;iosMobileApp;;296
1345892876;1102;Р974ОМ198;16241145;1775449140000;1775476920000;;iosMobileApp;59.9311332111454,30.3692762505497;1970.54
1345885881;4064;У036АХ250;6226172;1775445960000;1775451060000;legalEntityAccount;iosMobileApp;55.8264160835101,37.4926372024668;56
1345904571;4068;Е881АО797;398870;1775451600000;1775455200000;sms;sms;;40
1345875599;8042;Е085УЕ790;4660543;1775426520000;1775429580000;;yandex;;33.33
1345886904;4162;А546ОО777;1208140;1775445000000;1775447640000;;androidMobileApp;55.755582,37.4076936;43
1345899983;4273;Р926АК977;2676085;1775450820000;1775451180000;;iosMobileApp;55.7997527987476,37.3950614294333;5
1345891971;4056;Н668КН777;329578;1775448900000;1775457840000;;androidMobileApp;55.6486567,37.6052921;99.33
1345880037;70010;С121ВС97;8678580;1775433660000;1775437440000;;iosMobileApp;55.771976610896,37.6216485867932;206.67
1345892649;8120;Е188ВЕ790;7346344;1775449080000;1775451600000;legalEntityAccount;androidMobileApp;;82
1345875132;0412;В007КА199;9417394;1775426040000;1775426100000;;androidMobileApp;55.7813817,37.5824765;3.33
1345894451;4112;А767ОО797;449759;1775449620000;1775456820000;;androidMobileApp;55.6151696,37.7153648;203
1345913262;4074;Т943КВ977;1979132;1775452680000;1775456280000;;yandex;;40
